tweetid,text,manual_class
347745586541371000,"Cook County Board votes to lower use tax to 0.75 percent, from 1.25 percent http://t.co/JL0NHsW57p",
347746424986931000,DUI-B-Gone™ and DUI-Suspension-B-Gone™ applied successfully using Lawyer Magic™ 😀 (@ Cook County Courthouse) http://t.co/tgD1QLzf9Z,
347747182692155000,Family remembers U of C student; autopsy today: The Cook County Medical Examiner’s office will do an autopsy... http://t.co/B4DeDVfjTC,
347750210744758000,Big Meeting up in Cook County tomorrow morning that I'm really looking forward to. Working with a law enforcement... http://t.co/g9efMHM2eF,
347750277740376000,"#Chicago Man, 20, charged with sex trafficking for 2nd time in Cook County http://t.co/9kbrOfUq2X",News
347752651183768000,Kennedy: The greening of Cook County: Local government should be in the practice of doing what it can to help... http://t.co/cByuGpcwX3,
347752653981352000,Kennedy: The greening of Cook County: Local government should be in the practice of doing what it can to help... http://t.co/JhprSwjmfE,
347752978792456000,It's suppose to be hot this weekend. I hope everyone in cook county has their vests on deck.,
347755121716892000,Man Charged With Sex Trafficking For Second Time In Cook County #theteenrevolt #sextrafficking #Illinois... http://t.co/MP3xUNK45e,News
347756660716081000,RT @theteenrevolt: Man Charged With Sex Trafficking For Second Time In Cook County #theteenrevolt #sextrafficking #Illinois... http://t.co/…,News
347757058583564000,RT @theteenrevolt: Man Charged With Sex Trafficking For Second Time In Cook County #theteenrevolt #sextrafficking #Illinois... http://t.co/…,News
347757307964322000,Cook County Board Reduces Business Use Tax « CBS Chicago http://t.co/VWafB4pspi,
347757801986220000,And one of the Cook County Sheriffs just asked me for my number. #SMH,
347758484923748000,"Former #UIC student, Arnold Randall, looks to bring city dwellers back to nature at the Cook County Forest Preserve. http://t.co/86RbFoA3jr",
347759458329453000,@ImGilfd @jdardanes @fatwhop doesn't ur pops got the hook ups in cook county?,
347760875756720000,http://t.co/6PwVmXS9j2 Land Bank for Cook County Residents Suferring from Foreclosure #RE #Foreclosure #News,News
347761864165446000,@frednfrank So sorry. Cook is on holiday &amp; my daughter's school cricket team were in county tournament. Came 3rd!,Junk
347764519310856000,Man Charged With Sex Trafficking For Second Time In Cook County « CBS Chicago http://t.co/nIsWN6ibIT Did we read this correctly? a 2nd time!,News
347765820795015000,Land Bank for Cook County Residents Suferring from Foreclosure: ,
347765820795015000,,
347766948702073000,"I'm at Cook County Sheriff/South Campus (Chicago, IL) http://t.co/wvlPfvgWsK",
347767879954997000,"“@_defineeme: I believe in that  illuminati shit. Real life”stop saying them cook county sayings ""real life""",
347768049149018000,"BYFL Set to Host First BBQ Cook-OffBlanco County NewsThis weekend, June 20-22, the Blanco Youth Football Leagu... http://t.co/qiTNk53aqs",
347769915450733000,RT @freeallslaves: Man Charged With Sex Trafficking For Second Time In Cook County « CBS Chicago http://t.co/nIsWN6ibIT Did we read this co…,News
347770299497972000,RT @domokuny: Cook County Concealed Carry Ordinance Proposed By Sheriff Tom Dart Amid ...,News
347771709732033000,"Wow! What is going on in the St. Clair county court house? Now Delany's gone, who's next. And I thought Cook county was corrupt. What a joke",
347776653314904000,Artisan Pizza Cook (South Orange County) http://t.co/uFqo0Ikujc,
347778677070762000,Cook County commissioners lower use tax: Lost revenue from reduction will be $5 million; critics continue to... http://t.co/nVk543tijX,News
347779469655830000,Passing League At Six Today Vs Cook County Come Out Ndd Support Us,
347782275808768000,😒 (@ Bridgeview Cook County Court House - @tonipreckwinkle) http://t.co/7Y6a7uogA0,
347784028121887000,"Dr. Oz consistently refers to me as ""the most disgusting Restless Leg Syndrome sufferer in Cook County"" on his hit television program",
347784518570222000,😒 (@ Bridgeview Cook County Court House ) http://t.co/7Y6a7uogA0,
347791376391492000,Somerset County Cricket Club's thoughts are with Geoff Cook of Durham CCC and his family at this time.,Junk
347792804673622000,"Shout out to @p_betts for being from Cook County, y'all! ""Cook County Ford!! #AdelBaby"" 🚘😂",Junk
347795581437096000,"What's the largest minority group in #Cook County, IL? It's pretty much a tie: http://t.co/4eFenOALmU",
347797604660290000,Cook county courthouse is too ratchet for me to handle,
347799222701142000,Hurry up &amp; wait. #ugh @ Cook County Department of Corrections http://t.co/TkPFLsRJaK,
347800094327845000,AND NOW THE SIX MERRY MURDERERS OF THE COOK COUNTY JAIL IN THEIR RENDITION OF,
347801273510293000,"Suspect in Superior homicide in January, 2012 conveniently already in Cook County Ill. jail on other charges.  http://t.co/O2es5kx8Zh",News
347801608026980000,A huge thank you to the Cook County clerks downtown at the federal building who were so helpful with the paperwork regarding my mom.,
347801694106681000,Pretty psyched about our new TV commercial for Cook County Visitors Bureau! Check it out. Come visit. http://t.co/g6c0YnYgs4,News
347801739140932000,"The new and improved Visit Cook County (Grand Marais, Lutsen, Tofte, and surrounding area) Website is up and... http://t.co/lXbz1YGT6n",News
347803725924008000,We're seeing progress... Cook County Health and Hospitals System reduced its taxpayer subsidy in fiscal 2012 by... http://t.co/18iKK9RtrJ,News
347804480848409000,RT @CookCounty17th: We're seeing progress... Cook County Health and Hospitals System reduced its taxpayer subsidy in fiscal 2012 by... http…,News
347806545255477000,#CookCounty Board votes to lower business use tax http://t.co/CTP5h1RqIz,News
347807114619650000,Young legal scholar Dallin Oaks made a cameo in my research on Cook County Jail today. #mormons #theyreeverywhere,
347810211223990000,"Covered @DurhamCricket in disarray at Taunton last year. Geoff Cook was calm, polite &amp; brutally honest. An example to every county club",Junk
347811052408410000,"RT @JStern_Cricket: Covered @DurhamCricket in disarray at Taunton last year. Geoff Cook was calm, polite &amp; brutally honest. An example to e…",Junk
347811157320548000,"RT @JStern_Cricket: Covered @DurhamCricket in disarray at Taunton last year. Geoff Cook was calm, polite &amp; brutally honest. An example to e…",Junk
347811456252781000,"RT @JStern_Cricket: Covered @DurhamCricket in disarray at Taunton last year. Geoff Cook was calm, polite &amp; brutally honest. An example to e…",Junk
347812814095778000,A Cook County IL Sherrif following a correctional van on I57 N with his phone in hand and bouncing between the lines?! @iLDOT,
347813874608779000,"""The number of U.S.-born Americans residing in Chicago + surrounding Cook County  has declined by 900,000 since 1970"" http://t.co/c1dycFlvZ7",
347817354148848000,RT @OpacityofHope: RT @crainschicago: Cook County property taxes soared at twice inflation rate in a decade http://t.co/Lv3qrQBW #dempolici…,News
347819407600406000,Cook County Board Amends Use Tax on Non-Titled Personal Property - Chamber Believes Tax is Still Illegal: http://t.co/39kYQUTTCf,News
347820579635732000,RT|@ChicagolandCmbr Cook County Board Amends Use #Tax on Non-Titled Personal Property.,News
NA,,
347820579635732000,,
347821798085235000,RT @ChicagolandCmbr: Cook County Board Amends Use Tax on Non-Titled Personal Property - Chamber Believes Tax is Still Illegal: http://t.co/…,News
347824963161584000,"Justices rule Cook County commission can only grant lost wages, compensatory damages - not punitive damages http://t.co/IzDAasBvch",News
347825134415000000,Cook County Board has voted to cut a taxthat primarily affects business purchases made outside of the county. http://t.co/9ye9glin7s,News
347826587921686000,RT @ChicagolandCmbr: Cook County Board Amends Use Tax on Non-Titled Personal Property - Chamber Believes Tax is Still Illegal: http://t.co/…,News
347830449202164000,"* cook county, not cool county lol",
347831671619473000,Foreclosure auctions rise in Cook County http://t.co/8e1xu1isuX,News
347831686224019000,"Teen, 16, charged with molesting 3-year-old: A 16-year-old from Streamwood was charged as an adult in Cook County... http://t.co/NZD0mh3mbj",News
347831896908120000,"Park Ridge: Two Disaster Recovery Centers (DRCs) in Cook County will close at 6 p.m. Friday, June 21 http://t.co/i188oxa3pV",News
347836536257131000,"Teen, 16, charged with molesting 3-year-old: A 16-year-old from Streamwood was charged as an adult in Cook County... http://t.co/pn6c0vXQB1",News
347836809662841000,CHICAGO: Man Charged With Sex Trafficking For Second Time In Cook County http://t.co/2KVr1RAKFa,News
347837185984197000,Chicago - Cook County Health Trims Taxpayer Subsidy: http://t.co/AgwPIukBLA,News
347837491677626000,CHICAGO: Man Charged With Sex Trafficking For Second Time In Cook County: http://t.co/cffTPyVSIv,News
347843642255348000,Cook County RT @DTMForSTMO23: RT with the capitol of Chicago,
347843802188358000,Cook County News: Employment Opportunity - TITLE: BAILIFF/TRANSPORT OFFICER,News
347843802188358000,,
347850723389747000,"FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http://t.co/X2DvPpZ8Zn",
347853668839735000,"RT @jadethepitbull: FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http:…",
347853675877773000,"RT @jadethepitbull: FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http:…",
347853947723194000,"RT @jadethepitbull: FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http:…",
347854159636210000,Former IIT president Lewis Collens named to Cook County hospital board http://t.co/XXQ5NdhOVN via @kschorsch,News
347854581994242000,"RT @jadethepitbull: FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http:…",
347854617834553000,RT @CrainsChicago: Former IIT president Lewis Collens named to Cook County hospital board http://t.co/XXQ5NdhOVN via @kschorsch,News
347855431667970000,Former Holy Cross Hospital CEO named to Cook County Health board. http://t.co/Zk44iuOmKg,News
347859031236415000,RT @CrainsChicago: Former IIT president Lewis Collens named to Cook County hospital board http://t.co/XXQ5NdhOVN via @kschorsch,News
347860359484416000,[Chicago Business] Cook County hospital board picks new members http://t.co/0uUmQoH1Fr,News
347861399084597000,RT @APHealth1: Chicago - Cook County Health Trims Taxpayer Subsidy: http://t.co/AgwPIukBLA,News
347863128115118000,With Judge Greg Mathis at the Cook County Bar Association Installation Dinner.  Congrats to Dee http://t.co/1eCpIKGo35,
347865103451967000,Family remembers U of C student; autopsy today | WGN-TV: The Cook County Medical Examiner's office will do an ... http://t.co/gf8wxmHZKO,
347865109349167000,Family remembers U of C student; autopsy today | WGN-TV: The Cook County Medical Examiner's office will do an ... http://t.co/zwGh0rDL6v,
347868086264799000,"@KimyMichelleLaw -now u know if we're in palm beach county we only expect mom to cook 1 thing?! Lalo coma coming in 5,4,3...",
347870410748092000,Man Charged With Sex Trafficking For Second Time In Cook County « CBS Chicago http://t.co/CAuD8dEMAl,
347870469103432000,"We're working diligently in Cook County to solve the problem, stifling demand by going after the johns while rehabilitating the victims",
347870573038285000,Former corrections officer sentenced for sexual assault: A former Cook County corrections officer... http://t.co/xmLAfnAmU8 #Chicago #News,News
347872477894033000,Cook County Bar Association CCBA is having installation dinner at the Hyatt. #CCBA,
347872507925238000,Former corrections officer sentenced for sexual assault: A former Cook County corrections officer has been... http://t.co/NWvPB7Hgod,
347873599765492000,"RT @jadethepitbull: FOUND: Chicago,IL (Horner Park at Montrose California &amp; Irving Park Rd.)Cook County Female Pit Bull/Boxer Mix.... http:…",
347882875384898000,"New @heartlandinst report finds Cook County, IL's 518 taxing districts have $34 billion in unfunded liabilities http://t.co/gjo4Ih7YYJ",
347889122419016000,RT @WBBMNewsradio: Cook County Board has voted to cut a taxthat primarily affects business purchases made outside of the county. http://t.c…,News
347898676879950000,"RT @lengilroy: New @heartlandinst report finds Cook County, IL's 518 taxing districts have $34 billion in unfunded liabilities http://t.co/…",
347900967137710000,Cook County hospital board picks new members http://t.co/jvR4IESudv,News
347903125862093000,Cook County Health trims taxpayer subsidy http://t.co/fgw1uvobUs via @crainschicago,News
347903179356254000,"Friends, family, guests and customers---Check out the new Visit Cook County website to plan your next visit!! http://t.co/rWJVolXcVR",
347903215032996000,Cook County tax reduced to fend off lawsuits http://t.co/vdbtr1oZs4 via @crainschicago,News
347903283710525000,@jenny____ Looked it up—we aren't in Cook County.,
347906501106627000,@innay__wetrust South Cook County Mosquito Abatement,
347907649435734000,@tobreeezy Cook county IL might be a third world county,
347909073729098000,"RT @SusieHakes Friends, family, guests &amp; customers--Check out the new Visit Cook Co website to plan your next visit!! http://t.co/QGA1nT9ULB",
347921730888667000,I hate the heat more the I hate Obama and taxes in Cook county... #LetsGoSpurs,
347924882803270000,TALK TO ME COOK COUNTY RT @HeHadMySh_t: Fuck you RT @IkeNasty: TALK TO ME!!!!!!,
347925178103243000,"Winnebago County is 7th largest county in State. #3 County for most parolees, just behind Cook &amp; Will Counties.  GPS bracelets?",
347926177652031000,"Anyone in Orange County want pancakes? I'll come over to your place and cook you some, free of charge :D",
347926297311318000,Fuck the heat but I just heard some chick on the radio give a shout out to someone in Cook County jail,Junk
347928939366318000,RT @shachi_p: Fuck the heat but I just heard some chick on the radio give a shout out to someone in Cook County jail,Junk
347938210082615000,@CodyIsBEAST1112 same here they got sent to cook county school. For no reason actually,
347942478311195000,"We$t up bitch, Cook County 60644 watchu know about that. Chi-town bitch my birth place and my home",
347944177641877000,I swear madison cook is the best looking girl in rowan county!!,
347951883882734000,"PRESS RELEASE: 6/19/13 BEDFORD PARK, Ill. - The Cook County Sheriff’s Office, the South Suburban Major Crimes... http://t.co/rjtafDfAkh",News
347962122497577000,Cook County News: FAA: Boeing 787 diverted over low oil indicator http://t.co/u7OXUiACHN,News
347962152151314000,Cook County News: 7 Hurt in Crash Involving Squad Car http://t.co/mizTbQurSa,News
347962180861317000,Cook County News: University of Chicago student drowned in lake http://t.co/hh8lnKcD3r,News
347962207679697000,Cook County News: 23 arrested in connection with drug trafficking http://t.co/JLvlHOjcHJ,News
347964943540318000,Beyond Scared Straight need to make some Cook County episodes,Jail
347965509121229000,RT @HooverProdigy_: Beyond Scared Straight need to make some Cook County episodes,
347968933086765000,@TKarvonen JUST DRIVE TO COOK COUNTY AND ILL COME FIND U,
347969914251923000,Amatuer barbecue cook-off part of car show SaturdayCarroll County TimesThe cook-off will be happening in conju... http://t.co/MaLRG0YY59,
347969951191155000,RT @HooverProdigy_: Beyond Scared Straight need to make some Cook County episodes,
347970691624214000,RT @HooverProdigy_: Beyond Scared Straight need to make some Cook County episodes,
347971655869538000,"Poor Cook, suffers a heart attack. Get well soon. http://t.co/C0lTaenJg4",
347973440684323000,"continue:BROTHEROCATIONs ESPECIALLY IN THE CITY OF CHICAGO/COOK COUNTY,&amp;THE STATE OF ILLINOIS NO WHERE I WORK,&amp; LIVE,&amp;WHATEVER OTHERs TRYING",
347981673348080000,"from them ""Cook County Stories"" ?",
347981928084935000,lol cook county got a story bout errybody.. couple stories,
347981981969162000,RT @HeWontButJWill: lol cook county got a story bout errybody.. couple stories,
347982889532658000,"@ALLabout_CKD i couldnt believe i was gay.. but hey thats what cook county said, lol",
347983069380239000,I started that rumor RT  @ALLabout_CKD: Last I heard I moved from cook county was bc I was pregnant 😳,
347998135936758000,RT @HeWontButJWill: lol cook county got a story bout errybody.. couple stories,
347999406928323000,"Sad to hear of passing of Dicky Rutnagur, a lovely man who loved county cricket. And also thinking of Geoff Cook and hoping he is OK.",
347999659987444000,"RT @sjamesjourno: Sad to hear of passing of Dicky Rutnagur, a lovely man who loved county cricket. And also thinking of Geoff Cook and hopi…",
348002863550706000,"April 8,2012, 5:24am, john c stroger hospital. Mr. Brown mommy loves you something serious. http://t.co/dxHyyptnLv",
348003148490748000,"RT @sjamesjourno: Sad to hear of passing of Dicky Rutnagur, a lovely man who loved county cricket. And also thinking of Geoff Cook and hopi…",
348003648497918000,WE SWACKED DOWN THE WHOLE COOK COUNTY WHEN EAZY &amp; PONCHO DIED,
348005044630716000,"Cook County, Nigga.",
348007448222781000,Cook County News: Man to climb Mount Everest for marriage equality http://t.co/a8rIft7KT0,News
348007519731478000,Cook County News: Aurora Boy Seriously Injured in Hit-and-Run Crash http://t.co/PqxawC1v96,News
348007568087593000,Cook County News: Flood Victims Looking for Help Find Long Lines http://t.co/CmTbg9h2Id,News
348007621552378000,"Cook County News: Cicero Pizzeria Owner Shot, Killed in Attempted Robbery http://t.co/Z3LR1inE5A",News
348007687809802000,Cook County News: #Essential #Illinois #Hashtags http://t.co/sn8X9NhqdI,News
348008803867951000,"Months Later, #Protesters Still Want The #Cook #County Attorney Out for #Child #Molestation  « CBS Minnesota http://t.co/KSJCj21q99 #Sannell",
348009039780774000,"Months Later, #Protesters Still Want The #Cook #County Attorney Out for #Child #Molestation #CBS #Minnesota http://t.co/KSJCj21q99 #Scannell",
348010376446751000,"RT @KandiRider: Months Later, #Protesters Still Want The #Cook #County Attorney Out for #Child #Molestation #CBS #Minnesota http://t.co/KSJ…",
348014194177749000,17-year-old girl and 24-year-old man shot in front of house in Park Manor Neighborhood.  Both recovering at Stroger Hospital.,
348019405986333000,"RT @sjamesjourno: Sad to hear of passing of Dicky Rutnagur, a lovely man who loved county cricket. And also thinking of Geoff Cook and hopi…",
348019460420014000,"Bumping into Geoff Cook has always been one of the pleasures of the county circuit. Bounce back from this heart attack, it's your round.",
348022216748843000,"Please check out my answer on @Avvo to: I live in cook county, Il. I lost two children back in... #childcustody http://t.co/jFAijwGwgK",
348026156450202000,@DurhamCricket Thoughts with Geoff Cook. Had the pleasure of meeting him when I had county trials as a youngster. V nice bloke. Get well GC,
348026335500833000,Breaking-Gov. Quinn to sign Erin's Law in late January at CAC of North &amp; NW Cook County. Thank you @ErinMerryn! http://t.co/itAOyamqL1,
348033568229966000,Long lines as Cook County residents seek flood assistance on deadline day http://t.co/ILdNEH6Reo #chicago,
348033600077300000,Long lines as Cook County residents seek flood assistance on deadline day: Thousands of Cook... http://t.co/1p2Fp8h6Os #Chicago #News,News
348043571129098000,http://t.co/83dX14f0ul,
348043719922049000,"Sheriff Tom Dart proposes Cook County concealed-carry ordinance -  BY FRANK MAIN Staff Reporter May 5, 2013 7:44PM... http://t.co/ob9i7la2zy",
348043832513929000,Long lines as Cook County residents seek flood assistance on deadline day: Thousands of Cook County residents... http://t.co/d9TuZ7vZIf,
348044606761472000,"county blog - includes David Green, Dicky Rutnagur, Geoff Cook. http://t.co/7KQOmHCvW4 via @guardian",
348046641502237000,WLS: Long lines as Cook County residents seek flood assistance on deadline day http://t.co/Pu788FBhrC,
348047727629849000,Thousands Line Up For Flood Aid in Cook County: Line of thousands stretched around the block and beyond in... http://t.co/F7hGZgAtvu,
348048204102791000,"I'm at Cook County Sheriffs Police Department (River Grove, IL) http://t.co/R6Zrbv4htE",
348048895575740000,"I'm at Cook County (Indian Head Park, IL) http://t.co/FYG94bhx7T",
348048978148987000,"RT @andywiz: county blog - includes David Green, Dicky Rutnagur, Geoff Cook. http://t.co/7KQOmHCvW4 via @guardian",
348050733494583000,Geoff Cook 'critical but stable' after heart attack http://t.co/P6HgOtLQ3i via @espncricinfo,
348050909386924000,Thousands line up for flood aid in Cook County: http://t.co/CnM30EJyCH http://t.co/VdwoeetWse,
348052200444031000,17-year-old girl &amp; 24-year-old man shot in front of house in Park Manor Neighborhood. Both recovering at Stroger Hospital. #Chicago #Chiraq,
348052879111750000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348053341680570000,RT @ChiraqHomicide: 17-year-old girl &amp; 24-year-old man shot in front of house in Park Manor Neighborhood. Both recovering at Stroger Hospit…,
348054075960590000,"RT @faizanlakhani: Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart…",
348055466351399000,"Our thoughts are with Geoff Cook, Durham County Cricket Club, all at Interline wish Geoff a speedy recovery.",
348057141438984000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348057327296991000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348058073778250000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348058300887204000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348058300887204000,,
348058727464698000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348058727464698000,,
348058791432036000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348058791432036000,,
348064736526614000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack",
348064944513749000,Planting a garden today with Master Gardeners at the Cook County Oak Forest Health Center http://t.co/zVI5R6mztJ,
348065012826390000,Planting a garden today with Master Gardeners at the Cook County Oak Forest Health Center http://t.co/xe3XuPm07p,
348065139951550000,Just posted a photo @ Circuit Court Of Cook County http://t.co/eolb1KQVre,
348065877641540000,Just posted a photo @ Circuit Court Of Cook County http://t.co/QVPbxvhhm9,
348066410615951000,"Cook County Jury Verdict for $950,000 in Fraud and Breach of Contract Case; DaVinci Graphics v. Environomics C... http://t.co/HQj6xIFvWK",
348067043532227000,RT @nbcchicago: Thousands line up for flood aid in Cook County: http://t.co/CnM30EJyCH http://t.co/VdwoeetWse,
348067212453622000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348067212453622000,,
348069169889165000,RT @nbcchicago: Thousands line up for flood aid in Cook County: http://t.co/6v8LBQn0D8 http://t.co/7GYC2HqrTy,
348069367923220000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348072323481498000,Thousands Line Up For Flood Aid in Cook County http://t.co/NPXZB0XvuL,
348073570070561000,"You can't get real dominoes tiles in the Cook County Jail, so Spades is the favorite game. http://t.co/4NOFmKhwo8",
348073830863999000,RT @nbcchicago: Thousands line up for flood aid in Cook County: http://t.co/CnM30EJyCH http://t.co/VdwoeetWse,
348074785261101000,@CrimeVictimsOrg Your group is phony as all hell. Cook County prosecutors screw over victims of crime and their families and laugh about it.,
348076361891578000,Cook County hospital board picks new members Wayne Lerner and Lewis Collens http://t.co/RGdi0nmUGz via @crainschicago,News
348076919318778000,"今年4月、5月に洪水被害にあった何千人もの住民が援助金の申請のために朝から列を作ったシカ。混乱を避けるため警察も出動する騒ぎになりました。Cook Countyは現在までに17,000人の援助金を受付、...http://t.co/7c9PuOTrNE",
348077014193934000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348078258211922000,Update to our news item - Illinois Cook County Enacts Use Tax on Non-Titled Property: http://t.co/6TKfhlPQdW,
348082480542269000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack",
348084886382453000,"Cook County Health trimmed its taxpayer subsidy by nearly $23 million, in part by treating fewer uninsured patients. http://t.co/Iapgoy0FdV",
348085063348539000,"Former Holy Cross CEO Lerner, IIT President emeritus Collens join Cook County Health board. http://t.co/TosWXEKALn",
348087285134262000,RT @ChicagolandCmbr: Cook County Board Amends Use Tax on Non-Titled Personal Property - Chamber Believes Tax is Still Illegal: http://t.co/…,
348088132140401000,@rogebna not by me..I'm Cook county. Says storms possibly late tonight.,
348091519963636000,"Ever wonder what it would be like to get married inside Cook County jail? No, this is not a @Bravotv show! http://t.co/9eipc8mV5b",Jail
348093025513243000,"RT @JackieKostek: Ever wonder what it would be like to get married inside Cook County jail? No, this is not a @Bravotv show! http://t.co/9e…",Jail
348095184594141000,"I'm at Cook County Criminal Courts Building - @tonipreckwinkle (Chicago, IL) http://t.co/WUb0VwKsvO",
348096818153939000,The Greening of Cook County http://t.co/6SeqpqIxOS,
348097004842394000,An auction of the estate of the late Wyoming County attorney Charlotte Smallwood-Cook Thursday drew serious buyers... http://t.co/ThjO4lqvmw,
348097999932649000,Nice hanging out with some great lawyers before court. (@ Cook County Courthouse - @tonipreckwinkle) http://t.co/A4fo29gFCp,
348100737034768000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack. (about 1 ho",
348104831401079000,"cook county courthouse bldgs are so damn depressing, but w that said only took 3 minutes to get my birth certificate",
348105967726113000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348105967726113000,,
348106833950556000,Least that thunderstorm warning isn't for cook county. Almost got nervous.,Weather
348107269919101000,@DCCCFans let's get called the Geoff Cook stand!! He's been with the club from day one of becoming first class county. He is mr Durham ccc,
348108688931840000,"I'm at Cook County Criminal Courts Building - @tonipreckwinkle (Chicago, IL) w/ 2 others http://t.co/X2ygx4NkT1",
348109431042605000,Bradley D. Hergott of Scandaglia &amp; Ryan: How to navigate the black line trial call in Cook County Circuit Court http://t.co/Gv3hlQYH5N,
348111351350165000,"Geoff Cook, the coach of English County Championship side Durham, is in a ""critical but stable'' condition after a heart attack.",
348111842960343000,"Yo cook county, I paid my ticket over a week ago and y'all took that money as soon as I clicked submit, GIMME MY LICENSE!",
348113349113962000,Long lines as Illinois residents seek flood assistance on deadline day for food aid http://t.co/4OMVHs50aC,
348114040863744000,Marriage brings hope for Cook County inmates: Even the most hardcore criminals  http://t.co/zrwM3UJ5He,
348114937886953000,"#jobs4u #jobs Child Welfare Administrative Case Reviewer, [Cook County, #IL] http://t.co/XGojXmjRKP #administrative",
